timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1608053284883,2271,Home,500,,Thread-Gruppe 1-1,text,false,,7107,150,10,10,2266,0,13
1608053285320,1835,Home,200,,Thread-Gruppe 1-6,text,true,,8822,150,10,10,1834,0,1
1608053285428,1727,Home,500,,Thread-Gruppe 1-7,text,false,,7107,150,10,10,1721,0,1
1608053285721,1434,Home,200,,Thread-Gruppe 1-10,text,true,,8822,150,10,10,1433,0,1
1608053285621,1534,Home,200,,Thread-Gruppe 1-9,text,true,,8822,150,10,10,1533,0,0
1608053285521,1634,Home,200,,Thread-Gruppe 1-8,text,true,,8822,150,10,10,1633,0,1
1608053284924,2231,Home,500,,Thread-Gruppe 1-2,text,false,,7107,150,10,10,2225,0,1
1608053285221,1934,Home,500,,Thread-Gruppe 1-5,text,false,,7107,150,10,10,1928,0,0
1608053285023,2132,Home,200,,Thread-Gruppe 1-3,text,true,,8822,150,10,10,2131,0,0
1608053285121,2034,Home,500,,Thread-Gruppe 1-4,text,false,,7107,150,10,10,2028,0,1
1608053287161,1013,Login,200,,Thread-Gruppe 1-8,text,true,,10105,1027,10,10,961,0,0
1608053287160,1014,Login,200,,Thread-Gruppe 1-9,text,true,,10105,1027,10,10,963,0,0
1608053287161,961,Login-0,302,,Thread-Gruppe 1-8,,true,,756,278,10,10,961,0,0
1608053287160,963,Login-0,302,,Thread-Gruppe 1-9,,true,,756,278,10,10,963,0,0
1608053288126,48,Login-1,200,,Thread-Gruppe 1-8,text,true,,9349,749,10,10,48,0,0
1608053288126,48,Login-1,200,,Thread-Gruppe 1-9,text,true,,9349,749,10,10,46,0,0
1608053287160,1016,Login,200,,Thread-Gruppe 1-4,text,true,,10104,1026,10,10,971,0,4
1608053287160,971,Login-0,302,,Thread-Gruppe 1-4,,true,,755,278,10,10,971,0,4
1608053288132,44,Login-1,200,,Thread-Gruppe 1-4,text,true,,9349,748,10,10,43,0,0
1608053288177,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-4,text,false,,1226,0,10,10,0,0,0
1608053288178,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-4,text,false,,1214,0,10,10,0,0,0
1608053287160,1020,Login,200,,Thread-Gruppe 1-10,text,true,,10104,1027,10,10,963,0,0
1608053287160,1020,Login,200,,Thread-Gruppe 1-3,text,true,,10104,1026,10,10,965,0,0
1608053287160,963,Login-0,302,,Thread-Gruppe 1-10,,true,,755,279,10,10,963,0,0
1608053287160,965,Login-0,302,,Thread-Gruppe 1-3,,true,,755,278,10,10,965,0,0
1608053288126,54,Login-1,200,,Thread-Gruppe 1-10,text,true,,9349,748,10,10,53,0,0
1608053288126,54,Login-1,200,,Thread-Gruppe 1-3,text,true,,9349,748,10,10,53,0,0
1608053287160,1030,Login,200,,Thread-Gruppe 1-2,text,true,,10104,1026,10,10,962,0,4
1608053287160,962,Login-0,302,,Thread-Gruppe 1-2,,true,,755,278,10,10,962,0,4
1608053288126,64,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,748,10,10,64,0,0
1608053288191,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-2,text,false,,1226,0,10,10,0,0,0
1608053288191,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-2,text,false,,1214,0,10,10,0,0,0
1608053287160,1034,Login,200,,Thread-Gruppe 1-6,text,true,,10104,1026,10,10,962,0,0
1608053287160,962,Login-0,302,,Thread-Gruppe 1-6,,true,,755,278,10,10,962,0,0
1608053288126,68,Login-1,200,,Thread-Gruppe 1-6,text,true,,9349,748,10,10,68,0,0
1608053287160,1040,Login,200,,Thread-Gruppe 1-5,text,true,,10103,1025,10,10,961,0,3
1608053287160,961,Login-0,302,,Thread-Gruppe 1-5,,true,,754,278,10,10,961,0,3
1608053288126,74,Login-1,200,,Thread-Gruppe 1-5,text,true,,9349,747,10,10,74,0,0
1608053287161,1040,Login,200,,Thread-Gruppe 1-7,text,true,,10104,1026,10,10,961,0,2
1608053288201,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-5,text,false,,1226,0,10,10,0,0,0
1608053287161,961,Login-0,302,,Thread-Gruppe 1-7,,true,,755,278,10,10,961,0,2
1608053288125,76,Login-1,200,,Thread-Gruppe 1-7,text,true,,9349,748,10,10,76,0,0
1608053288202,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-5,text,false,,1214,0,10,10,0,0,0
1608053288202,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-7,text,false,,1226,0,10,10,0,0,0
1608053288202,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-7,text,false,,1214,0,10,10,0,0,0
1608053287160,1044,Login,200,,Thread-Gruppe 1-1,text,true,,10103,1025,10,10,967,0,4
1608053287160,967,Login-0,302,,Thread-Gruppe 1-1,,true,,754,278,10,10,967,0,4
1608053288128,76,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,747,10,10,74,0,0
1608053288205,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-1,text,false,,1226,0,10,10,0,0,0
1608053288205,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-1,text,false,,1214,0,10,10,0,0,0
1608053288179,41,Add Product to Cart,500,,Thread-Gruppe 1-4,text,false,,6390,883,10,10,41,0,0
1608053288192,28,Add Product to Cart,500,,Thread-Gruppe 1-2,text,false,,6390,841,10,10,28,0,0
1608053288206,14,Add Product to Cart,500,,Thread-Gruppe 1-1,text,false,,6390,882,10,10,14,0,0
1608053288221,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},Thread-Gruppe 1-4,text,false,,1235,0,10,10,0,0,0
1608053288221,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},Thread-Gruppe 1-2,text,false,,1235,0,10,10,0,0,0
1608053288221,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},Thread-Gruppe 1-1,text,false,,1235,0,10,10,0,0,0
1608053288202,20,Add Product to Cart,500,,Thread-Gruppe 1-5,text,false,,6390,882,10,10,20,0,0
1608053288203,20,Add Product to Cart,500,,Thread-Gruppe 1-7,text,false,,6390,883,10,10,20,0,0
