timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,Latency,IdleTime,Connect
1608071550815,2740,Home,200,,text,true,,8822,2731,0,13
1608071550864,2692,Home,200,,text,true,,8822,2682,0,1
1608071551162,2394,Home,500,,text,false,,7107,2384,0,0
1608071551662,1894,Home,200,,text,true,,8822,1885,0,1
1608071551563,1993,Home,200,,text,true,,8822,1984,0,2
1608071550963,2593,Home,200,,text,true,,8822,2584,0,0
1608071551062,2494,Home,500,,text,false,,7107,2485,0,1
1608071551462,2094,Home,500,,text,false,,7107,2085,0,0
1608071551362,2194,Home,200,,text,true,,8822,2185,0,1
1608071551261,2295,Home,200,,text,true,,8822,2285,0,1
1608071553576,61855,Login,200,,text,true,,4380,61820,0,4
1608071553576,61858,Login,200,,text,true,,4380,61819,0,0
1608071615433,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608071615437,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071553576,61866,Login,200,,text,true,,4379,61820,0,0
1608071553575,61868,Login,200,,text,true,,4380,61820,0,0
1608071553575,61871,Login,200,,text,true,,4381,61820,0,4
1608071615447,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608071553575,61873,Login,200,,text,true,,4381,61821,0,4
1608071615448,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615449,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608071615450,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071553576,61878,Login,200,,text,true,,4381,61819,0,0
1608071553575,61881,Login,200,,text,true,,4380,61820,0,0
1608071553575,62018,Login,200,,text,true,,4379,61821,0,0
1608071553575,62031,Login,200,,text,true,,4381,61821,0,0
1608071615444,168,List Products,500,,text,false,,6451,168,0,0
1608071615612,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615435,178,List Products,500,,text,false,,6451,178,0,0
1608071615614,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615443,173,List Products,500,,text,false,,6451,173,0,0
1608071615455,161,List Products,500,,text,false,,6451,161,0,0
1608071615616,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615456,161,List Products,500,,text,false,,6451,161,0,0
1608071615617,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615618,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608071615614,6,Add Product to Cart,500,,text,false,,6390,5,0,1
1608071615450,170,Add Product to Cart,500,,text,false,,6390,170,0,0
1608071615620,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 80: http://localhost:30080/tools.descartes.teastore.webui/category?category=5&page=${page_id},text,false,,1225,0,0,0
1608071615621,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},text,false,,1235,0,0,0
1608071615451,172,Add Product to Cart,500,,text,false,,6390,172,0,0
1608071615438,185,Add Product to Cart,500,,text,false,,6390,185,0,0
1608071615623,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},text,false,,1235,0,0,0
1608071615624,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},text,false,,1235,0,0,0
1608071615613,12,Add Product to Cart,500,,text,false,,6390,12,0,1
